REGULATOR	REGULATED	EFFECT
DksA	slrP	Repressor
DksA	steA	Repressor
DksA	steB	Repressor
DksA	gtgE	Repressor
DksA	pipC	Repressor
DksA	pipB	Repressor
DksA	dksA	Repressor
DksA	argX	Repressor
DksA	proM	Repressor
DksA	invF	Repressor
DksA	flhC	Repressor
STM0859	rcsB	Repressor
STM0859	rpoS	Repressor
HU	hupB	Repressor
CpxR	cat	Repressor
CpxR	phoU	Repressor
Fur	mntH	Repressor
MntR	mntH	Repressor
MntR	sitABCD	Repressor
InvF	invF	Repressor
H-NS	phoH	Repressor
HilD	phoH	Repressor
HilA	sopB	Repressor
InvF	sopE	Repressor
InvF	sipA	Repressor
H-NS	pta	Repressor
H-NS	mgtC	Repressor
PhoR	phoE	Repressor
PhoB	phoE	Repressor
PhoU	phoU	Repressor
PhoR	phoU	Repressor
PhoU	phoE	Repressor
CsgD	crp	Repressor
CRP	csgD	Repressor
CsgD	csgA	Repressor
CsgD	bcsA	Repressor
CRP	csgA	Repressor
CRP	bcsA	Repressor
SoxS	ompW	Repressor
CpxR	fliA	Repressor
CpxR	flgM	Repressor
CpxR	tar	Repressor
CpxR	lipA	Repressor
CsgD	fliA	Repressor
CsgD	tar	Repressor
CsgD	lipA	Repressor
PdhR	lipA	Repressor
STM0347	hin	Repressor
STM0347	fis	Repressor
STM0347	hupA	Repressor
STM0347	hupB	Repressor
HU	fis	Repressor
HU	hin	Repressor
STM0347	STM0347	Repressor
Fur	foxA	Repressor
PspF	tatABC	Repressor
Hha	ssrAB	Repressor
CpxR	ssrAB	Repressor
CpxR	ssrA	Repressor
PhoP	crp	Repressor
CsrA	csrA	Repressor
InvF	sopE2	Repressor
InvF	sicA	Repressor
InvF	sipB	Repressor
InvF	sipC	Repressor
FimW	fimZ	Repressor
CRP	hilD	Repressor
H-NS	mig	Repressor
H-NS	phoQ	Repressor
LexA	recN	Repressor
RpoS	ompD	Repressor
ArcA	ptsG	Repressor
SgrR	ptsG	Repressor
Mlc	ptsHI	Repressor
Mlc	ptsG	Repressor
Cra	pfkA	Repressor
Cra	pykF	Repressor
Cra	ptsG	Repressor
Cra	ptsHI	Repressor
Cra	manX	Repressor
MarR	soxS	Repressor
SoxR	marA	Repressor
SoxR	ramA	Repressor
SoxR	soxS	Repressor
NorR	norV	Repressor
MntR	mntP	Repressor
H-NS	lon	Repressor
PhoP	lon	Repressor
PhoP	rpoS	Repressor
RpoS	hns	Repressor
CsgD	csgD	Repressor
RpoS	waaZ	Repressor
RpoS	tviB	Repressor
RpoS	sthC	Repressor
H-NS	fimA	Repressor
H-NS	yaiU	Repressor
H-NS	adrA	Repressor
QseB	luxS	Repressor
QseB	sdiA	Repressor
QseB	csgA	Repressor
QseB	csgB	Repressor
QseB	motB	Repressor
HilE	sulA	Repressor
HilE	lacZ	Repressor
FlhDC	ydiV	Repressor
STM3357	STM3358	Repressor
STM3358	STM3357	Repressor
RamA	hilA	Repressor
RpoS	sdhCDAB	Repressor
RpoS	dctA	Repressor
IscR	dctA	Repressor
RpoS	rbsD	Repressor
RbsR	rbsD	Repressor
RamA	gatR	Repressor
RamA	gatY	Repressor
RamA	gatZ	Repressor
MarT	narQ	Repressor
RpoS	prgHIJK	Repressor
RpoS	hilA	Repressor
Mlc	malT	Repressor
RpoS	ftnA	Repressor
RpoS	sitABCD	Repressor
FimZ	hilE	Repressor
PhoP	tig	Repressor
PhoP	dnaJ	Repressor
RtsA	hilC	Repressor
HilD	hit	Repressor
OmpR	cysK	Repressor
OmpR	ompR	Repressor
SsrB	sifA	Repressor
NadR	nadB	Repressor
NadR	nadA	Repressor
NadR	pnuC	Repressor
NadR	pncB	Repressor
SlyA	slyA	Repressor
SlyA	marRAB	Repressor
SlyA	fes	Repressor
SlyA	entD	Repressor
SlyA	fepA	Repressor
SlyA	entF	Repressor
Fur	fes	Repressor
Fur	entD	Repressor
Fur	entF	Repressor
OxyR	csgB	Repressor
OxyR	stgA	Repressor
OxyR	safA	Repressor
OxyR	sefA	Repressor
NagC	fimA	Repressor
CpxR	fimA	Repressor
TviA	fimA	Repressor
NarP	fimA	Repressor
OmpR	fimA	Repressor
HdfR	fimA	Repressor
FUR	rpo	Repressor
FUR	pyrB	Repressor
FUR	pyrE	Repressor
LacI	mgtA	Repressor
GalR	mgtA	Repressor
RpoS	stiB	Repressor
FNR	arcA	Repressor
FNR	nor	Repressor
SpvR	spvR	Repressor
SpvR	lacZ	Repressor
H-NS	spvA	Repressor
PhoP	prgH	Repressor
PhoP	prgHIJK	Repressor
Lrp	dadAX	Repressor
